latitude,longitude,period,age,NormalMarine,locality,formation,present_comp,original_comp,fabric,environment,sample,first_author,journal,year,vol,first_page,comments,compiled_by
21,-86.7,Qpl,10,,MEXICO,,,ARG,,,,PIGOTT,PhD DISSERT,1981,,,ISLA MUJERAS,"WIlkinson,1990"
-14.6,145.46,,10,,Lizard Island,-,,,,,,Marshall,,1975,,,High-magnesium calcite ooids from the Great Barrier Reef,Gallagher 2018
-4,154.93,,10,,Malden Atoll,,,,,,,Milliman,,1974,,,Recent sedimentary carbonates: Part 1 marine carbonates,Gallagher 2018
20.78,156.83,,12.7,,Maui Nui,-,,,,,,Hearty,,2010,,,A pulse of ooid formation in Maui Nui (Hawaiian Islands) during Termination I,Gallagher 2018
-18,118,,15,,NWS Seabed,-,,,,,,Jones,,1973,,,Marine geology of the Northwest Australian continental shelf,Gallagher 2018
-23,152.5,,16.8,,Capricorn Channel,-,,,,,,Yokoyama,,2006,,,"Sea-level during the early deglaciation period in the Great Barrier Reef, Australia",Gallagher 2018
35,11,Qhl,20,,TUNESIA,-,,ARG,,,,FABRICIUS,SCIENCE,1970,169,757,,"WIlkinson,1990"
4,-50,Qpl,20,,AMAZON SHELF,-,HMC,HMC,RADIAL,RELICT,,MILLIMAN,SEDIMENTOLOGY,1975,22,137,MOLE % MgCO3 = 12,"WIlkinson,1990"
26,50.3,Qpl,20,,ARABIAN SEA,-,CAL/ARG,ARG,SPARRY,,TC-870-RX,PICHA,SEDIMENTOLOGY,1978,25,427,KUWAIT,"WIlkinson,1990"
18.5,71,,23,,Western India,-,,,,,,Rao,,2017,,,Relict ooids off northwestern India: Inferences on their genesis and late Quaternary sea level,Gallagher 2018
21.5,90,,25,,Bengal Shelf,-,,,,,,Wiedicke,,1999,,,Oolitic beach barriers of the last Glacial sea-level lowstand at the outer Bengal shelf,Gallagher 2018
30,-80,Qpl,26,,GEORGIA,,ARG,ARG,TANG-CONC,SHALLOW MARINE,,PILKEY,JOUR SED PET,1966,36,462,OOIDS,"WIlkinson,1990"
-19.5,116.6,,40,,BH4/Angel Core,-,,,,,,Gallagher,,2014,,,Seismic and stratigraphic evidence for reef expansion and onset of aridity on the Northwest Shelf of Australia during the Pleistocene,Gallagher 2018
-19.72,63.42,,120,,Rodrigues,-,,,,,,Brathwaite,,1994,,,Quaternary oolites in the Indian Ocean,Gallagher 2018
17.9,71.5,,120,,Wester Shelf India,- ,ARG,ARG,,,,RAO,SEDIMENTARY GEOLOGY,2017,358,44,,HOWES
25,-80,Qpl,120,,FLORIDA,,CAL/ARG,ARG,SPARRY,SHOAL,,HALLEY,AAPG BULL,1977,61,519,MIAMI OOLITE,"WIlkinson,1990"
-19.5,116.6,,155,,BH4/Angel Core,-,,,,,,Gallagher,,2014,,,Seismic and stratigraphic evidence for reef expansion and onset of aridity on the Northwest Shelf of Australia during the Pleistocene,Gallagher 2018
-19.82,115.7,,390,,356-U1462,-,,,,,,Gallagher,,2018,,,The enigma of rare Quaternary oolites in the Indian and Pacific Oceans: A result of global oceanographic physicochemical conditions or a sampling bias?,Gallagher 2018
-20.5,115.18,,400,,Maitland North-1,-,,,,,,Gallagher,,2014,,,Seismic and stratigraphic evidence for reef expansion and onset of aridity on the Northwest Shelf of Australia during the Pleistocene,Gallagher 2018
-19.82,115.7,,570,,356-U1462,-,,,,,,Gallagher,,2018,,,The enigma of rare Quaternary oolites in the Indian and Pacific Oceans: A result of global oceanographic physicochemical conditions or a sampling bias?,Gallagher 2018
-19.82,115.7,,720,,356-U1462,-,,,,,,Gallagher,,2018,,,The enigma of rare Quaternary oolites in the Indian and Pacific Oceans: A result of global oceanographic physicochemical conditions or a sampling bias?,Gallagher 2018
16,70,Qhl,>0,,,-,,,,,,RAO,DEEP SEA RESREARCH,1988,,,CORE ON INDIAN SHELF,HOWES
